לקוח,שם לקוח,תקן,תיאור,אחראי לביצוע,שם אחראי,אגף,גירסה,תאריך הוצאה,תאריך עדכון אחרון,פעיל, , , 
7100,Pratt & Whitney Aircraft Group,DCS-20,INSPECTION OF AIRFOIL LEADING EDGE REQUIREMENTS,112102,רז שלמה,,G,24/12/1957,30/10/2009,Active,,,
7100,Pratt & Whitney Aircraft Group,DCS-35,SPLINE MEASUREMENT,,,,,27/04/1976,15/03/1984,Active,,,
7100,Pratt & Whitney Aircraft Group,DCS-42,INSPECTION OF COMPRESSOR AND TURBINE DISKS,52258,קציר עמוס,,D,19/01/1966,30/10/2009,Active,,,
7100,Pratt & Whitney Aircraft Group,DCS-48,INSPECTION OF DIE-STAPINGS,52258,קציר עמוס,,G,17/10/1966,16/03/2010,Active,,,
7100,Pratt & Whitney Aircraft Group,DCS-50,COUUNTERWEIGHT HOLES,52258,קציר עמוס,,B,15/11/1966,30/10/2009,Active,,,
7100,Pratt & Whitney Aircraft Group,DCS-54,INSPECTION OF TUBLE WALL THICKNESSES,52258,קציר עמוס,,C,05/07/1967,30/10/2009,Active,,,
7100,Pratt & Whitney Aircraft Group,DCS-56,PRODUCTION & INSPECTION PROCESS INDETIFICATION MARKING,52258,קציר עמוס,,G,08/08/1967,30/10/2009,Active,,,
7100,Pratt & Whitney Aircraft Group,DCS-60,OUT-OF-ROUNDNESS,,,,D,17/04/1968,20/11/1991,Active,,,
7100,Pratt & Whitney Aircraft Group,DCS-60 APP,APPENDIX TO DCS 60,,,,A,04/01/1973,27/08/2007,Active,,,
7100,Pratt & Whitney Aircraft Group,DCS-71,"DIMPLING OF DISKS,HUBS,AND SHAFTS",52258,קציר עמוס,,D,30/04/1969,30/10/2009,Active,,,
7100,Pratt & Whitney Aircraft Group,DRM M,Digital Radiography Method (DRM) – Master,102335,פרסט מקס,,A,10/05/2011,04/08/2014,Active,,,
7100,Pratt & Whitney Aircraft Group,E-1175,Bond Strength of Coatings,106815,וולפמן בוריס,22,11,15/12/1972,09/11/2011,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES  11-01,SCANNING PRATT & WHITNEY DRAWINGS,52258,קציר עמוס,,,31/01/2011,31/01/2011,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 11-03,UNAPPROVED PARTS,52258,קציר עמוס,,,15/06/2011,15/06/2011,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 11-04,POP 1614 and P-SPEC REQUIREMENTS,52258,קציר עמוס,,,08/07/2011,08/07/2011,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 11-05,Work Force Reduction Contingency Plan,52258,קציר עמוס,,,13/07/2011,13/07/2011,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 11-06,"Serial Number Generator will now be available to
Supplier DQR’s",52258,קציר עמוס,,,10/08/2011,10/08/2011,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 11-07,PWA 310 2D Marking for Content and Format,52258,קציר עמוס,,,25/08/2011,25/08/2011,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 11-08,New Electronic Supplier Request for Information (eSRI) Release,52258,קציר עמוס,,,26/09/2011,26/09/2011,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 11-09,PWA 360 and ANSI 14.5Y Temperature Requirement,52258,קציר עמוס,,,14/11/2011,14/11/2011,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 12-01,"New eQN Functionality
2 Way Communication",52258,קציר עמוס,,,16/01/2012,16/01/2012,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 12-02,Latest Change Designation,52258,קציר עמוס,,,21/02/2012,21/02/2012,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 12-03,Compliance to Packaging Requirements,52258,קציר עמוס,,,15/03/2012,15/03/2012,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 12-04,EVALUATION OF HIDDEN WELD CHARACTERISTICS,52258,קציר עמוס,,,20/03/2012,20/03/2012,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 12-05,ALERT: BETTER MISTAKE PROOFING NEEDED FOR ESCAPE PREVENTION,52258,קציר עמוס,,,13/04/2012,13/04/2012,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 12-06,WELDING VISUAL IMPERFECTIONS,52258,קציר עמוס,,,13/04/2012,13/04/2012,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 12-07,POP 1614 REVISION TO BE RELEASED,52258,קציר עמוס,,,27/04/2012,27/04/2012,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 12-08,Dimensionally Non-Conforming Details,52258,קציר עמוס,,,09/05/2012,09/05/2012,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 12-09,PWA 310 INTERPRETATION,52258,קציר עמוס,,,15/06/2012,15/06/2012,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 12-10,PWA 310 2D Marking for Content and Format,52258,קציר עמוס,,,18/07/2012,18/07/2012,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 12-11,Eye Examination Requirements,52258,קציר עמוס,,,07/08/2012,07/08/2012,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 12-12,Cartesian Coordinate System,52258,קציר עמוס,,,07/08/2012,07/08/2012,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 12-13,Military Tool Acceptance Stamps,52258,קציר עמוס,,,11/09/2012,11/09/2012,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 12-14,PWA 388,52258,קציר עמוס,,,13/11/2012,13/11/2012,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 12-15,QPL/IR/Form 5's,52258,קציר עמוס,,,13/11/2012,13/11/2012,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 12-16,Orientation of Fasteners to Blueprint,52258,קציר עמוס,,,26/11/2012,26/11/2012,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 12-17,Summary of Customer and Pratt & Whitney’s Audit Findings,52258,קציר עמוס,,,10/12/2012,10/12/2012,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 13-01,Validation of Class Three UNJ Thread Geometry,52258,קציר עמוס,,,01/03/2013,01/03/2013,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 13-02,Contract Review Best Practice,52258,קציר עמוס,,,07/03/2013,07/03/2013,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 13-03,Change to PW-QA 6088,52258,קציר עמוס,,,07/03/2013,07/03/2013,Active,,,
7100,Pratt & Whitney Aircraft Group,EAGLE EYES 13-04,Supplier Escape,52258,קציר עמוס,,,11/06/2013,11/06/2013,Active,,,
