לקוח,שם לקוח,תקן,תיאור,אחראי לביצוע,שם אחראי,אגף,גירסה,תאריך הוצאה,תאריך עדכון אחרון,פעיל, , , 
7170,MTU Aero Engines AG,MTH 452,ARGON,111534,רוזנשטיין צ'רלס,,19,01/01/2001,01/04/2019,Active,,,
7170,MTU Aero Engines AG,MTH 499,"Dry powder developer
For fluorescent penetrants
ZYGLO ZP4B",108449,לנדאו אשר,,19,01/11/2003,01/11/2003,Active,,,
7170,MTU Aero Engines AG,MTH 511,Peening media for controlled shot peening,110932,שר יעקב,,19,01/03/2005,01/11/2019,Active,,,
7170,MTU Aero Engines AG,MTH 548,"Wetting agent
(Actane AAA)",111534,רוזנשטיין צ'רלס,,,01/12/2015,01/12/2015,Active,,,
7170,MTU Aero Engines AG,MTH 569,Synthetic blasting material,116301,רוד דן,,,01/02/2001,01/06/2013,Active,,,
7170,MTU Aero Engines AG,MTH 611,"Cleaner
TURCO ARR 4181",112052,גור מיטל,,17,01/04/2017,01/04/2017,Active,,,
7170,MTU Aero Engines AG,MTH 665,Abrasive flow machining compound,88500,לפיד אלדד,,,01/04/2012,01/04/2012,Active,,,
7170,MTU Aero Engines AG,MTH 697,Peening media for controlled shot peening,116301,רוד דן,,18,01/12/2006,01/04/2018,Active,,,
7170,MTU Aero Engines AG,MTH 697 BBL1,"Peening Media for Controlled
Shot Peening
Conditioned Cut Wire Steel
Particle shape
Reference photographs",116301,רוד דן,,,01/03/2013,01/03/2013,Active,,,
7170,MTU Aero Engines AG,MTH 877,Synthetic blasting material,106815,וולפמן בוריס,,14,01/03/2011,01/05/2014,Active,,,
7170,MTU Aero Engines AG,MTH 897,Adhesive film FM 1000 ADHESIVE FILM,111534,רוזנשטיין צ'רלס,,,01/03/2009,01/03/2012,Active,,,
7170,MTU Aero Engines AG,MTH 919,"IRON(III) CHLORIDE/HYDROCHLORIC ACID SOLUTION	",111534,רוזנשטיין צ'רלס,,,01/11/2002,01/11/2013,Active,,,
7170,MTU Aero Engines AG,MTH 995,"Blasting Material for Ultrasonic Shot
Peening
Tungsten Carbide
(Nominal particle size 1,2 mm)",116301,רוד דן,,,01/10/2010,01/05/2006,Active,,,
7170,MTU Aero Engines AG,MTH 996,"Blasting Material for Ultrasonic Shot
Peening
Steel Balls
(Nominal particle size 1,5 mm)",116301,רוד דן,,,01/10/2010,01/10/2010,Active,,,
7170,MTU Aero Engines AG,MTI 1441,SCHLEIFKORPER TROWALIT FSG 10X20,,,,,01/02/1983,01/02/1983,Active,,,
7170,MTU Aero Engines AG,MTL 101,Nickel and cobalt alloy blades and vanes,105155,הרוש ציון,,16,01/02/2007,01/11/2016,Active,,,
7170,MTU Aero Engines AG,MTL 113,PEENING AND BLASTING MATERIALS,116301,רוד דן,,,01/12/2004,01/12/2004,Active,,,
7170,MTU Aero Engines AG,MTL 116,Powdered spraying materials,,,,,01/04/2008,01/04/2008,Active,,,
7170,MTU Aero Engines AG,MTL 119,HONEYCOMB MATERIAL,88500,לפיד אלדד,,,01/07/2005,01/10/2013,Active,,,
7170,MTU Aero Engines AG,MTL 119 BBL1,Honeycomb material for abradable seals,88500,לפיד אלדד,,,01/10/2013,01/10/2013,Active,,,
7170,MTU Aero Engines AG,MTL 120,Forgings in high-temperature steels,,,,-,01/02/1982,01/04/2005,Active,,,
7170,MTU Aero Engines AG,MTL 120-1,Disks and rotating rings in steel and high tempeture alloys,88500,לפיד אלדד,,9,01/06/2003,01/09/2017,Active,,,
7170,MTU Aero Engines AG,MTL 120-2,Disks and rotating rings In steel and high-temperature alloys,106815,וולפמן בוריס,,-,01/06/2003,01/05/2016,Active,,,
7170,MTU Aero Engines AG,MTL 120-3,Discs and rotating rings in steel and nickel alloys,106815,וולפמן בוריס,,13,01/06/2003,01/06/2013,Active,,,
7170,MTU Aero Engines AG,MTL 128-1,"Single crystal solidified blades/vanes
and castings
in nickel alloys",115592,שימרון אלדר,14,1,01/07/1992,01/02/2017,Active,,,
7170,MTU Aero Engines AG,MTL 128-2,"Single crystal solidified blades/vanes
and castings
in nickel alloys
 Stock material",115592,שימרון אלדר,14,1,01/07/1992,01/02/2017,Active,,,
7170,MTU Aero Engines AG,MTL 128-3,"Single crystal solidified
blades/vanes and castings",115592,שימרון אלדר,14,1,01/07/1992,01/06/2017,Active,,,
7170,MTU Aero Engines AG,MTL 144-1,"Disks, rotating rings and
compressor wheels
in titanium alloys",88500,לפיד אלדד,,,01/06/2013,01/06/2013,Active,,,
7170,MTU Aero Engines AG,MTL 156,PRECISION CASTINGS IN STEEL,112797,יונגמן יותם,14,6,01/07/2006,01/07/2006,Active,,,
7170,MTU Aero Engines AG,MTL 156-1,"PRECISION CASTINGS IN Fe,Ni,Co  Definitions and general requirements",,,,17,01/07/2006,01/05/2017,Active,,,
7170,MTU Aero Engines AG,MTL 156-2,"PRECISION CASTINGS IN Fe,Ni,Co Stock material 07/2006",,,,17,01/07/2006,01/05/2017,Active,,,
7170,MTU Aero Engines AG,MTL 156-3,"PRECISION CASTINGS IN Fe,Ni,Co Castings",,,,18,01/07/2006,01/02/2018,Active,,,
7170,MTU Aero Engines AG,MTL 161-1,Forgings and rolled rings in steel and high-temperature alloys,106815,וולפמן בוריס,,,01/10/2002,01/10/2015,Active,,,
7170,MTU Aero Engines AG,MTL 161-3,Forgings and rolled rings in steel and high-temperature alloys,106815,וולפמן בוריס,,,01/02/2005,01/04/2013,Active,,,
7170,MTU Aero Engines AG,MTN 115,Almen Test Strip Holder,116301,רוד דן,,,01/01/2009,01/01/2009,Active,,,
7170,MTU Aero Engines AG,MTN 1218,Test block for checking inspection tooling Eddy-current inspection,107292,ויימן איגור,,,01/05/2003,01/10/2009,Active,,,
7170,MTU Aero Engines AG,MTN 122,Almen Strip N,116301,רוד דן,,,01/01/2009,01/06/2010,Active,,,
7170,MTU Aero Engines AG,MTN 123,Almen Strip A,116301,רוד דן,,,01/01/2009,01/01/2009,Active,,,
7170,MTU Aero Engines AG,MTN 124,Almen Strip C,116301,רוד דן,,,01/01/2009,01/01/2009,Active,,,
7170,MTU Aero Engines AG,MTN 160,"UNJF threads
Selection, dimensions and tolerances",88500,לפיד אלדד,,,01/05/2003,01/05/2003,Active,,,
7170,MTU Aero Engines AG,MTN 70,Tensile test specimens,106815,וולפמן בוריס,,,01/01/2008,01/06/2009,Active,,,
7170,MTU Aero Engines AG,MTN 71,Hot tensile test specimen,106815,וולפמן בוריס,,,01/12/2004,01/06/2010,Active,,,
7170,MTU Aero Engines AG,MTN 75,Stress-rupture test specimens,106815,וולפמן בוריס,,,01/11/1987,01/11/1987,Active,,,
7170,MTU Aero Engines AG,MTN 94111,Quality management Vendor requirements,116145,דפרין חיים,22,17,01/10/2005,01/09/2017,Active,,,
7170,MTU Aero Engines AG,MTN 94111 B-1,Vendor quality assurance requirements /Inspection requirements,52258,קציר עמוס,,,01/04/2009,01/07/2014,Active,,,
7170,MTU Aero Engines AG,MTN 94111 B-10,VENDOR QUALITY ASSURANCE,52258,קציר עמוס,,18,01/12/2004,01/12/2018,Active,,,
7170,MTU Aero Engines AG,MTN 94111 B-11,"Definition of the DSQR process and the
supplier self release of MTU products at
the supplier’s",52258,קציר עמוס,,,01/11/2007,01/02/2016,Active,,,
7170,MTU Aero Engines AG,MTN 94111 B-15,"Quality assurance requirements for
vendors
Standard texts",116145,דפרין חיים,,18,01/05/2012,01/04/2018,Active,,,
7170,MTU Aero Engines AG,MTN 94111 B-16,"Approval of thermal spray processes
at suppliers",115402,טרננקו ויטלי,,15,01/10/2012,01/12/2015,Active,,,
7170,MTU Aero Engines AG,MTN 94111 B-17,General packaging directive,88500,לפיד אלדד,,19,01/11/2013,01/06/2019,Active,,,
7170,MTU Aero Engines AG,MTN 94111 B-3,VENDOR QUALITY ASSURANCE REQUIREMENTS,307,דיין משה,,,01/04/1991,01/03/2008,Active,,,
7170,MTU Aero Engines AG,MTN 94111 B-4,PROCUREMENT OF SEMI-FINISHED PRODUCTS,110510,ריהן דניאל,,19,01/07/2005,01/05/2019,Active,,,
7170,MTU Aero Engines AG,MTN 94111 B-5,STARAIGHTENING OF PRECISION -  CAST TURBINE BLADES/VANES,,,,,01/04/1993,01/04/1993,Active,,,
7170,MTU Aero Engines AG,MTN 94111 B-7,PROZESSFAHIGKEIT SPC BEI AUTRAGNHMERN,,,,,01/03/2000,01/03/2000,Active,,,
7170,MTU Aero Engines AG,MTN 94111 B-8,"Surveillance of production system
control software",,,,,01/03/2000,01/02/2005,Active,,,
7170,MTU Aero Engines AG,MTN 94111 B-9,"Control of inspection equipment and
measuring-machine software",,,,,01/03/2000,01/02/2005,Active,,,
7170,MTU Aero Engines AG,MTN 94111 BBL 19,Production Parts Approval Process PPAP,88500,לפיד אלדד,,18,01/05/2015,01/11/2018,Active,,,
